Reports,TTP,Actor
" Mandiant Threat Intelligence assesses with high confidence that the upcoming Zapad-2021 military exercise will drive additional cyber espionage leading up to and during the event from multiple countries seeking insight into capabilities and intentions of participants and reactions among neighboring countries. We expect defense and government organizations will be most heavily targeted. U.S. and North Atlantic Treaty Organization (NATO) military units should remain alert for the potential intensification of information operations during Zapad and other military exercises. Anti-NATO and anti-U.S. military narratives are common themes for several information operations campaigns we track, which target the Baltic states, Poland, and Ukraine. Despite ongoing and recently increased Chinese-Russian military cooperation, we expect both countries to continue cyber espionage against the other's defense and military targets for the foreseeable future. ","['Malware Propagation and Deployment', 'Network Reconnaissance']",TEMP.Isotope
" Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. ",['Web Application Attacks'],TEMP.Isotope
" Mandiant Threat Intelligence obtained a leaked report from German federal agencies describing long-standing Russia-nexus intrusions against critical infrastructure entities in Germany. The report suggests that the described actor which we partially relate to TEMP.Isotope may still maintain access to environments possibly initially compromised in campaigns from as early as 2017. This activity represents a threat to critical infrastructure industries broadly, and in particular the energy, water, and telecommunications sectors. Please see the Technical Annex for our suggested detections, mitigations, and applicable YARA rule(s) (MITRE ATT CK T1187, T1078, T1086). ","['Social Engineering', 'Malware Propagation and Deployment', 'Network Reconnaissance']",TEMP.Isotope
 Sophisticated threat actors used watering holes and spear phishing to target industrial engineers. Such engineers are high-value targets due to their access to sensitive information and industrial processes. Targeting of engineers has been used in the past as a foothold to industrial control systems (ICS) networks. ICS asset owners should use associated indicators to investigate whether they were targeted and closely monitor SMB connections and traffic for anomalous behavior. ,['Enabling Infrastructures'],TEMP.Isotope
" The three primary Russian intelligence services the Federal Security Service (FSB), Foreign Intelligence Service (SVR), and the Main Intelligence Directorate of the General Staff of the Armed Forces of the Russian Federation (GRU) have exhibited divergent organizational cultures that subsequently affect how their personnel carry out operations. Media and government attribution of specific clusters of activity to different Russian intelligence services can be leveraged as an analytic lens to draw parallels between the organizational cultures of alleged sponsors and the tradecraft of certain associated threat actors. This type of analysis offers potential insight into the possible future activities by Russia-nexus threat actors like Sandworm Team and TEMP.Isotope. ",['No ttp provided'],TEMP.Isotope
" FireEye identified malicious code inserted into the website of a U.S.-based airport, which was used as part of a watering hole attack intended to steal credentials from visitors to the site. Suspected links to TEMP.Isotope exist based on operational similarities and sensitive-source data. This activity represents a threat to the airline industry, travelers, and subsidiary affiliates. Please see the Technical Annex for suggested detections and mitigations (MITRE ATT CK T1189, T1187). ",['No ttp provided'],TEMP.Isotope
" On May 3, 2018, the German newspaper S ddeutsche Zeitung ( SZ ) reported previously undisclosed intrusions into the networks of at least two German energy providers during summer 2017. On May 8, 2018, SZ revealedthat Netcom BW, an Internet Service Provider (ISP) and subsidiary of the German power company EnBW, also suffered a series of intrusions that began in May 2017. It is not clear if the intrusion into Netcom BW was one of the earlier reported intrusions. FireEye iSIGHT Intelligence has moderate confidence that the tactics, techniques, and procedures (TTPs) employed in the earlier reported intrusions mirror those of Russian-nexus threat actor TEMP.Isotope. We believe that the Netcom BW intrusion is likely related to Russian-nexus activity targeting network infrastructure devices that we have not been able to attribute to TEMP.Isotope, but was described in a recent joint U.S.-UK alert. ","['Network Reconnaissance', 'Hardware/Supply Chain Compromise', 'Enabling Infrastructures']",TEMP.Isotope
" Symantec's recent public report characterizes TEMP.Isotope activity as a resurgence of Koala Team activity, predominantly targeting industrial control systems (ICS) with a variety of tactics. While we concur with Symantec that TEMP.Isotope activity likely represents a more sophisticated actor using commonly available malware to cast doubt on attribution, we disagree that some of the activity highlighted by Symantec originates from TEMP.Isotope. Regardless of attribution, we anticipate TEMP.Isotope will continue to pose a significant risk to the energy sector using publicly available tools. ","['Malware Propagation and Deployment', 'Enabling Infrastructures']",TEMP.Isotope
" MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) is a knowledge base and model for cyber adversary behavior. The ATT CK framework is divided into 12 tactics: initial access, execution, persistence, privilege escalation, defense evasion, credential access, discover, lateral movement, collection, exfiltration, impact, and command and control. Attackers can use various techniques to achieve each of these goals and ultimately enable successful operations. This report identifies the ATT CK categories Mandiant has seen being used by TEMP.Isotope across FireEye Devices, Mandiant Services, and research. ","['Network Reconnaissance', 'Hardware_Supply Chain Compromise', 'Enabling Infrastructures']",TEMP.Isotope
" An operation deploying watering holes and a global spear-phishing campaign are believed to leverage SMB to steal user credentials since at least 2015. The activity appears to be strongly focused on the energy sector; strategic web compromises have victimized renewable energy companies and industry news sites while spear-phishing lures leverage sector-relevant content. Identified targeting and tactics, techniques, and procedures (TTPs) strongly suggest cyber espionage operators are behind the activity. ","['Social Engineering', 'Network Reconnaissance']",TEMP.Isotope
" The U.S. Department of Homeland Security recently claimed that Russian threat actor TEMP.Isotope gained access to control rooms in ""hundreds"" of U.S. utility centers and had the privileges needed to disrupt energy distribution. This statement was later proven to be misleading, as only one minor control center was penetrated. FireEye iSIGHT Intelligence also identified separate targeting of Turkish critical infrastructure, potentially linked to TEMP.Isotope. This activity is the most recent development in a campaign by TEMP.Isotope targeting critical infrastructure, which has been ongoing since at least 2015. TEMP.Isotope aligns with elements of activity reported as Dragonfly 2.0, DYMALLOY, Berserk Bear, and Energetic Bear by various researchers in the security community. ",['No ttp provided'],TEMP.Isotope
" Activity targeting the energy sector via spear-phishing documents and watering holes abusing SMB is being dubbed ""TEMP.Isotope."" Additional compromised sites functioning as watering holes have been identified, and a spear-phishing email spreading a previously identified document was uncovered. The evidence confirms targeting of the energy sector, and the focus on engineers suggests compromise of critical infrastructure may have been the goal. ","['Social Engineering', 'Network Reconnaissance']",TEMP.Isotope
"TEMP.Isotope, active since at least 2015, is a suspected Russia-nexus cyber espionage threat actor that targets the global energy and manufacturing sectors and Middle Eastern organizations. Although the group has been publicly linked to the Russia-nexus Koala Team, we have not linked the activities of TEMP.Isotope to any known actors. This actor has engaged in a credential theft campaign from late-2015 by leveraging malicious documents and strategic web compromises against entities in the energy and government sectors. The documents and strategic web compromises were designed to target individuals in engineering roles. Significantly, the group has emphasized targeting of individuals working with industrial control systems (ICS), raising the possibility the activity is preparation for attack.",['No ttp provided'],TEMP.Isotope
" From January 2019 to June 2021, Mandiant Threat Intelligence observed evidence of at least eight espionage clusters linked to Iran, China, and Russia, as well as operations deploying at least 10 different ransomware families, exploit 20 specific vulnerabilities in VPN software from seven different vendors. CVE-2019-19781, CVE-2019-11510, and CVE-2018-13379 were exploited by the largest number of separate activity clusters, at least 13, 12, and 10, respectively. Suspected APT5 and UNC757 were the most prolific actors, exploiting six and five VPN vulnerabilities, respectively. We continued to observe new reports of exploitation of most of these vulnerabilities well after the initial waves of disclosures and exploitations, indicating that delays in patching compound the risk that unpatched or unmitigated software will be exploited. We assess with moderate confidence that the primary driver behind VPN exploitation remains the unique, powerful, and efficient utility of a flaw in a VPN gateway to accomplish a variety of attacker goals. ","['Network Reconnaissance', 'Ransomware', 'Exploit Development']",TEMP.Isotope
" The number of zero-days exploited as of July 2021 is on track to more than double the previous record volume from 2019 and has already surpassed all previous years on record. State-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities, although the proportion of financially motivated actors deploying zero-day exploits has grown significantly since 2019. Microsoft's Exchange and Windows Server software, Apple's iOS, and Google's Chrome browser had the highest volume of zero-days exploited by threat actors, likely reflecting the popularity of these products. The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. ","['Malware Propagation and Deployment', 'Hardware_Supply Chain Compromise', 'Ransomware', 'Exploit Development']",TEMP.Isotope
" Mandiant Threat Intelligence judges that the common exploitation of Microsoft Windows vulnerabilities reflects widespread use of this operating system and the efficacy of Microsoft Office documents as an initial infection vector. Mandiant documented a dramatic increase in zero-day exploitation in 2021. We also observed numerous significant campaigns in which threat actors exploited vulnerabilities in VPNs as a means to gain initial access to victim networks. Patterns in frequently exploited software have shifted in 2020 and 2021 with threat actors exploiting products, such as VPN technologies and file transfer applications, which have not historically been among the most frequently exploited products. Mobile vulnerability exploitation also appears to have increased. Chinese, Russian, and Iranian state-sponsored actors continue to exploit vulnerabilities as part of their campaigns. We have also observed financially motivated threat actors use zero-day and n-day vulnerabilities in data theft extortion campaigns. ","['Malware Propagation and Deployment', 'Ransomware', 'Exploit Development']",TEMP.Isotope
" FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). ","['Web Application Attacks', 'Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Hosting', 'Defacement', 'Communications', 'Domain Registration_DNS Abuse and Manipulation', 'Network Reconnaissance', 'Hardware_Supply Chain Compromise', 'Hardware/Supply Chain Compromise', 'Malware Research and Development', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Exploit Development', 'Domain Registration/DNS Abuse and Manipulation', 'Monetization and Laundering', 'Fraud', 'Insider Threat']",TEMP.Isotope
" Mandiant Threat Intelligence assesses with high confidence that cyber espionage poses a high-frequency, high-severity threat to the oil and gas sector. Notable tactics, techniques, and procedures (TTPs) include spearphishing, use of remote access trojans (RATs), router exploitation, and password spraying. We assess with moderate confidence that disruptive and destructive threats from nation-state actors, such as Russia and Iran, pose an elevated risk to oil and gas firms, as groups attributed to these countries have staged operations against these sectors in the past and have enduring geopolitical and economic interests that could spur future activity. We are highly confident that financially motivated activity poses a moderate-frequency, moderate-intensity threat to the oil and gas sector. Ransomware, for example, poses a disruptive threat to operations given oil and gas firms' position as critical infrastructure providers. Hacktivism likely poses a rare and limited-intensity threat to well-protected oil and gas sector organizations. ",['No ttp provided'],TEMP.Isotope
" Russia-, North Korea-, and Iran-nexus threat actors have demonstrated a willingness to conduct operations against the utilities industry in the last several years. We regularly observe indiscriminate cyber criminal campaigns impacting this sector and, albeit limited, financially motivated intrusion groups such as FIN7 have also impacted the utilities industry. Despite occasional hacktivist or disgruntled insider attacks, the current threat is low. Utilities, especially those invol v ed in electricity generation or transmission, should include geopolitical environment analyses when determining security strategies and investment priorities. ","['Web Application Attacks', 'Social Engineering', 'Malware Propagation and Deployment', 'Communications', 'Network Reconnaissance', 'Hardware/Supply Chain Compromise', 'Malware Research and Development', 'Ransomware', 'Enabling Infrastructures', 'Distributed Denial-of-Service (DDoS) Attack', 'Fraud', 'Insider Threat']",TEMP.Isotope
" Cyber espionage presents a high threat to entities across nearly all sectors of government, civil society, and private industry in Ukraine. Russian state-sponsored actors routinely target Ukrainian organizations for intelligence collection, as well as disruptive and destructive attacks to government, financial, transportation, media, and critical infrastructure entities. Information Operations (IO) and hacktivism also present a high threat to Ukrainian entities, as pro-Russian threat actors commonly target Ukrainian entities and individuals with strategic data leaks and disinformation. Ukrainian cyber criminals, as part of the prolific Russian-language cyber crime community, present a high threat to organizations around the world. ",['No ttp provided'],TEMP.Isotope
" Mandiant Threat Intelligence assesses with high confidence that Russia aims to interfere in democratic processes to generate conditions favorable to its strategic objectives (e.g., to undermine confidence in adversary democratic governments domestically and internationally and to exacerbate existing societal divisions among target populations). We have observed multiple incidents in which Russian threat actors have attempted to directly interfere with core or auxiliary infrastructure ahead of national elections in multiple countries. Past incidents include network-scanning activity, database compromise, spearphishing, and attempted disruptive/destructive attacks. Common tactics, techniques, and procedures (TTPs) observed in pro-Russian information operations related to elections include amplification of organic and fabricated content using social media, hack and leak operations, and the use of false hacktivist personas as well as disruption and compromise of media channels. In addition to espionage that takes place in the lead-up to elections, ongoing espionage activity may attempt to support hack-and-leak operations in the future, collect compromised credentials for later operations, and provide data for traditional intelligence missions. We assess with high confidence that Russia will continue attempting to interfere with democratic processes globally, relying heavily on information operations. We also expect that Russian espionage actors will continue to target core and auxiliary election entities, especially as voting systems and other processes become increasingly virtualized. ","['Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Network Reconnaissance', 'Distributed Denial-of-Service (DDoS) Attack']",TEMP.Isotope
" To date, we have observed only limited reports of cyber threat activity related to the 2020 U.S. election. Mandiant Threat Intelligence compiled a list of known state-sponsored threat groups and campaigns that have previously conducted operations seeking to influence U.S. elections or engaged in threat activity related to elections in other countries and have a history of targeting the U.S. We suggest that this list could represent a useful guide for prioritizing defensive strategies and hunt missions ahead of the 2020 U.S. election. We anticipate that Iranian and Chinese activity sets, Russian operators APT28 and Sandworm Team, and information operations serving Russian, Iranian, and Chinese interests are the most likely known threats to affect the election. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Network Reconnaissance', 'Distributed Denial-of-Service (DDoS) Attack']",TEMP.Isotope
" FireEye Intelligence continues to observe state-sponsored and other threat actors target national elections to collect intelligence and exert influence as well as attempt to delegitimize or disrupt the electoral process. We assess with high confidence that actors will persist in targeting entities associated with elections. Based on activity observed from 2016 2019, we believe that threat actors have focused their targeting against electoral platforms affecting public opinion, such as news organizations, political parties, and other entities with comparatively larger attack surfaces than core election systems. While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes . FireEye Intelligence anticipates that future threat scenarios could include disruptive threats such as ransomware attacks impacting electoral processes and related organizations. ","['Web Application Attacks', 'Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Distributed Denial-of-Service (DDoS) Attack']",TEMP.Isotope
" We assess with high confidence that Russian and Chinese espionage actors consistently pose a high-frequency, high-impact threat to U.S. entities. Future targets are likely to include entities connected to the upcoming U.S. election and entities involved in defense, diplomacy, and/or policymaking. Iran and North Korea also pose a potentially destructive threat based on current geopolitical tensions and past activity. Information operations that support Russian or Iranian interests pose a high-frequency, moderate-impact threat. We have also observed campaigns targeting the U.S. that do not appear to support state interests and at least one campaign that may have been orchestrated by a marketing firm in support of a third party that appeared to support state interests. We assess with high confidence that the U.S. will remain a high-frequency target of both targeted and opportunistic financially motivated cyber activity for the foreseeable future. Operations range from low to high impact. We assess with moderate confidence that the perceived lucrative nature of high-impact operations, such as targeted ransomware infections, may cause additional actors to adopt these tactics. We assess with moderate confidence that hacktivist groups will continue choosing U.S. targets for demonstrative cyber activity; however, most activity will not constitute a threat to security-conscious and well-resourced entities. We assess with moderate confidence that an increasing number of countries will demonstrate offensive cyber capabilities in the coming years. Based on the prominence of the cyber domain in modern economic and political competition and the growing presence of private companies offering offensive capabilities for sale, the number of U.S. cyber adversaries is liable to increase and diversify. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Domain Registration_DNS Abuse and Manipulation', 'POS_ATM Malware_ATM Skimming', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Exploit Development', 'Fraud']",TEMP.Isotope
" Mandiant Threat Intelligence assesses with high confidence that financially motivated activity, particularly ransomware, will represent a very common and moderate-magnitude threat to the hospitality sector in the future, barring any significant changes to the threat landscape. Although we identified several notable cyber espionage actors targeting the hospitality sector, the threat from these groups is significantly lower than that from financially motivated actors. We assess with moderate confidence that cyber espionage actors overall pose an occasional and limited-magnitude threat to the hospitality sector. Cyber espionage actors primarily target hospitality businesses to harvest information on targeted guests, almost certainly to enable additional intelligence collection. The onset of the global coronavirus pandemic drastically affected the hospitality sector, forcing many organizations to radically alter their business models. We observed multiple threat groups adjust their tactics in the last year, likely at least in part due to these changes. ","['Malware Propagation and Deployment', 'POS_ATM Malware_ATM Skimming', 'Ransomware', 'Exploit Development', 'Monetization and Laundering', 'Fraud']",TEMP.Isotope
" FireEye Threat Intelligence assesses with high confidence that cyber espionage continues to pose an occasional, moderate-intensity threat to Turkish government and commercial sector entities. In the past two years, we observed Russia-, China-, Iran-, and North Korea-nexus groups targeting Turkey, including critical infrastructure targeting. Financially motivated threat activity in Turkey remains a persistent, moderate-intensity threat to multiple industries, most notably financial services. Observed activity includes targeted intrusions and opportunistic campaigns. Information operations by likely Iranian actors present a somewhat regular, low-intensity threat to Turkish audiences. Turkish information operations in support of international political objectives constitute an occasional and limited-intensity threat. Politically motivated hacktivists present a high-frequency, low-intensity threat to public and private sector entities in Turkey and beyond. Organizations operating in Turkey, particularly media outlets and non-governmental organization (NGOs), should be aware of surveillance, website blocking, and potential personnel detentions over online content critical of the Turkish Government. ","['Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Defacement', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'POS/ATM Malware/ATM Skimming', 'Domain Registration/DNS Abuse and Manipulation']",TEMP.Isotope
" Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. ","['Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Defacement', 'Network Reconnaissance', 'Hardware_Supply Chain Compromise', 'Malware Research and Development', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Exploit Development', 'Fraud', 'Insider Threat']",TEMP.Isotope
" Cyber espionage and disruptive/destructive attacks continue to pose the greatest threats to the oil and gas vertical. China-, Russia-, and Iran-nexus threat actors conduct extensive operations against this sector. The ongoing development of industrial control systems (ICS) exploitation practices and increasing tendency of threat actors to target critical infrastructure presents a significant and growing threat to the oil and gas industry. The cyber crime threat to oil and gas companies is moderate, with most observed activity appearing to be opportunistic targeting. Hacktivism is a moderate threat to the oil and gas industry and is primarily motivated by anti-establishment, anti-capitalist, and environmentalist ideologies. ","['Social Engineering', 'Malware Propagation and Deployment', 'Network Reconnaissance', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack']",TEMP.Isotope
" Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. ","['Web Application Attacks', 'Social Engineering', 'Malware Propagation and Deployment', 'Doxing', 'Hosting', 'Defacement', 'POS_ATM Malware_ATM Skimming', 'Hardware_Supply Chain Compromise', 'Ransomware', 'Distributed Denial-of-Service (DDoS) Attack', 'Monetization and Laundering', 'Fraud']",TEMP.Isotope
" FireEye Threat Intelligence assesses with high confidence that Canada faces financially motivated cyber threat activity continually, and that this activity seriously affects normal business operations. Sophisticated groups, commodity campaigns, and underground actors create significant challenges. We assess with moderate confidence that cyber espionage regularly affects Canadian entities with notable intensity; Russia-nexus actors currently pose the greatest risk. The Russian false hacktivist persona Fancy Bears' Hack Team (FBHT) conducted information operations activity, including leaks targeting Canadian athletic organizations in early 2018. FireEye believes that hacktivists present a low-frequency, low-intensity threat to security-conscious Canadian entities. Future strategic threats likely include operations against industrial control systems (ICS)/ supervisory control and data acquisition (SCADA) systems, potential expansion of FIN10 targeting, and activity against the federal election in 2019. ","['Social Engineering', 'Malware Propagation and Deployment', 'Defacement', 'Communications', 'Network Reconnaissance', 'Ransomware', 'Enabling Infrastructures', 'Distributed Denial-of-Service (DDoS) Attack', 'Monetization and Laundering', 'Fraud']",TEMP.Isotope
" Mandiant Threat Intelligence observed numerous examples of information operations we suspect to support Russian, Iranian, and Chinese interests commenting on U.S. politics and 2020 candidates and issues, including activity intended to intimidate or influence voters. Mandiant Threat Intelligence observed suspected TEMP.Isotope targeting of U.S. government networks in late September. In addition, we have documented open-source reports of Russian, Iranian, and Chinese cyber espionage actors targeting entities associated with the 2020 U.S. election. We have also seen several instances of financially motivated activity affecting government or campaign organizations, including a ransomware deployment that affected a voter signature verification database. We also observed threat activity leveraging politically themed lure materials. We will continue to monitor for and report on election-related campaigns through election day and beyond. ","['Social Engineering', 'Malware Propagation and Deployment', 'Communications', 'Network Reconnaissance', 'Ransomware', 'Fraud']",TEMP.Isotope
