	Reports	Technique	Actor	textrank_extractive_summary	textrank_extractive_summary_time_taken
17	 Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. 	Initial Access: T1078 Valid Accounts	TEMP.Isotope	Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S.	0:00:00.015265
18	 Mandiant Threat Intelligence assesses with high confidence that cyber espionage from primarily Russian state-linked threat groups will continue to present an almost continuous and serious threat to Ukraine particularly toward Ukrainian government and military entities. Mandiant has observed primarily pro-Russian information operations targeting Ukraine, often with the apparent objective of creating tension between Ukraine and its European and NATO partners and degrading Ukrainians' trust in their government and democracy. We assess with moderate confidence that these information operations are a frequent and considerable threat. We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally. 	Initial Access: T1078 Valid Accounts	TEMP.Isotope	We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally.	0:00:00.008975
19	 MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) for Industrial Control Systems (ICS) is a knowledge base and model for cyber adversary behavior against ICS. The ATT CK for ICS model is divided into 12 tactics: initial access, execution, persistence, privilege escalation, evasion, discovery, lateral movement, collection, command and control, inhibit response function, impair process control, and impact. Attackers can use various techniques to achieve each of these goals and ultimately enable successful operations. This report identifies the ATT CK for ICS categories Mandiant Threat Intelligence has seen being used by TEMP.Isotope. 	Initial Access: T1195 Supply Chain Compromise	TEMP.Isotope	 MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) for Industrial Control Systems (ICS) is a knowledge base and model for cyber adversary behavior against ICS.	0:00:00.009228
20	 Ensuring data integrity and security as well as operational security during times of disruption or increased remote work is critical. Remote workers should be advised on how to best secure their workplaces, remote work security policies, and access controls should be reviewed and clearly communicated; and special attention should be paid to the possibility of insider threats. Organizations facing disruption events that require increased remote work should ensure that they have sufficient infrastructure, capacity, and device security policies and controls. This can range from making sure that users have secure means to access internal systems remotely and having policies regarding the use of personal devices for work, to developing plans for access to highly secure and/or air gapped systems that should not be exposed to the internet. As the types of events that could cause business disruptions and increased remote work are almost certainly events that would garner significant regional or international attention, they are likely to be used for social engineering lures by a variety of actors. User education intended to drive increased awareness and wariness regarding potential phishing can be a core mitigation tactic in reducing the risk from this type of campaign. 	Initial Access: T1190 Exploit Public-Facing Application	APT29	As the types of events that could cause business disruptions and increased remote work are almost certainly events that would garner significant regional or international attention, they are likely to be used for social engineering lures by a variety of actors.	0:00:00.023327
21	" SUNBURST is a SolarWinds-signed plug-in component of the Orion software framework, which contains an obfuscated backdoor that communicates via HTTP to third-party servers. After an initial dormant period of up to two weeks, it retrieves and executes commands, called ""Jobs,"" that include the ability to transfer and execute files, profile the system, and disable system services. The backdoor's behavior and network protocol blend in with legitimate SolarWinds activity, such as by masquerading as the Orion Improvement Program (OIP) protocol and storing reconnaissance results within plug-in configuration files. The backdoor uses multiple blacklists to identify forensic and anti-virus tools via processes, services, and drivers. "	Initial Access: T1195 Supply Chain Compromise	APT29	The backdoor uses multiple blacklists to identify forensic and anti-virus tools via processes, services, and drivers.	0:00:00.008805
22	 As of February 2018, FireEye iSIGHT Intelligence tracks 42 threat groups that have targeted organizations from the telecommunications sector on at least one occasion and 26 clusters of activity that are not currently attributed to any group. Economic, political, and military interests equally drive threat actors to target telecommunications organizations. However, it is sometimes difficult to determine whether an actor only leveraged telecommunications infrastructure as a channel to indirectly target other sectors. Contact your account manager for a high-resolution version of the graphic. 	Initial Access: T1195 Supply Chain Compromise	APT29	 As of February 2018, FireEye iSIGHT Intelligence tracks 42 threat groups that have targeted organizations from the telecommunications sector on at least one occasion and 26 clusters of activity that are not currently attributed to any group.	0:00:00.007650
23	 Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. 	Initial Access: T1078 Valid Accounts	APT29	We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category.	0:00:00.006406
24	 Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. 	Initial Access: T1195 Supply Chain Compromise	APT29	We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category.	0:00:00.006212
25	 Mandiant incident response investigations and open-source information demonstrate that UNC2452, UNC2652, and likely related activity clusters pursued multiple third-party compromises in 2020 and 2021. Third-party compromises afford tactical and operational advantages to attackers compared to direct targeting. A single compromise can facilitate access to multiple potential targets, and victims may be less likely to detect an intrusion that abuses a trusted channel. We assess with high confidence that this activity represents a risk for governments and policy organizations in North America and Europe and the technology service providers that support these entities. We believe that UNC2452 and related clusters have maintained operational tempo and priorities despite significant public attention. We expect UNC2452 and related clusters to continue to conduct multiple simultaneous, complex intrusions, including operations involving third-party and software supply chain compromise, in pursuit of strategic intelligence requirements that support Russian state interests. 	Initial Access: T1195 Supply Chain Compromise	APT29	We expect UNC2452 and related clusters to continue to conduct multiple simultaneous, complex intrusions, including operations involving third-party and software supply chain compromise, in pursuit of strategic intelligence requirements that support Russian state interests.	0:00:00.020206
26	 A version of this report will appear on the Mandiant blog the week of April 25, 2022. 	Initial Access: T1190 Exploit Public-Facing Application	APT29	 A version of this report will appear on the Mandiant blog the week of April 25, 2022.	0:00:00.000692
27	 A version of this report will appear on the Mandiant blog the week of April 25, 2022. 	Initial Access: T1078 Valid Accounts	APT29	 A version of this report will appear on the Mandiant blog the week of April 25, 2022.	0:00:00.000617
28	 A version of this report will appear on the Mandiant blog the week of April 25, 2022. 	Initial Access: T1195 Supply Chain Compromise	APT29	 A version of this report will appear on the Mandiant blog the week of April 25, 2022.	0:00:00.000616
29	 Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. 	Initial Access: T1190 Exploit Public-Facing Application	APT29	Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation.	0:00:00.019026
30	 The number of zero-days exploited as of July 2021 is on track to more than double the previous record volume from 2019 and has already surpassed all previous years on record. State-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities, although the proportion of financially motivated actors deploying zero-day exploits has grown significantly since 2019. Microsoft's Exchange and Windows Server software, Apple's iOS, and Google's Chrome browser had the highest volume of zero-days exploited by threat actors, likely reflecting the popularity of these products. The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. 	Initial Access: T1195 Supply Chain Compromise	APT29	The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems.	0:00:00.010359
31	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1190 Exploit Public-Facing Application	APT29	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.022827
32	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1078 Valid Accounts	APT29	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.022963
33	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1195 Supply Chain Compromise	APT29	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.023750
34	 FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). 	Initial Access: T1078 Valid Accounts	APT29	We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII).	0:00:00.022836
35	" Tor (formerly The Onion Router) is a network that is purpose-built for anonymized internet browsing that also facilitates the use of ""dark web"" sites inaccessible to software that is not Tor-compatible. Tor has long been used for a wide variety of activities, both legitimate and illicit. Groups and actors observed leveraging Tor range from average cyber criminals using marketplaces hosted on Tor .onion sites to espionage actors using domain fronting Tor plugins for remote access that purports to be legitimate traffic. Actors linked to Tor use include APT29, FIN4, and various opportunistic financially motivated threat actors. Options for blocking and mitigating threats related to Tor in an enterprise environment exist, but they are not absolute. Nearly any mitigation option will still leave opportunities for determined individuals to access Tor through a corporate network, as Tor traffic can often look similar to other types of traffic. Given the many anonymity-related advantages that the use of Tor can provide to cyber threat actors, FireEye Threat Intelligence is highly confident that the use of Tor for malicious purposes will continue for the foreseeable future. "	Initial Access: T1078 Valid Accounts	APT29	" Tor (formerly The Onion Router) is a network that is purpose-built for anonymized internet browsing that also facilitates the use of ""dark web"" sites inaccessible to software that is not Tor-compatible."	0:00:00.025179
