Technique,Reports
Initial Access: T1190 Exploit Public-Facing Application," Russia-, North Korea-, and Iran-nexus threat actors have demonstrated a willingness to conduct operations against the utilities industry in the last several years. We regularly observe indiscriminate cyber criminal campaigns impacting this sector and, albeit limited, financially motivated intrusion groups such as FIN7 have also impacted the utilities industry. Despite occasional hacktivist or disgruntled insider attacks, the current threat is low. Utilities, especially those invol v ed in electricity generation or transmission, should include geopolitical environment analyses when determining security strategies and investment priorities. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence continues to observe state-sponsored and other threat actors target national elections to collect intelligence and exert influence as well as attempt to delegitimize or disrupt the electoral process. We assess with high confidence that actors will persist in targeting entities associated with elections. Based on activity observed from 2016 2019, we believe that threat actors have focused their targeting against electoral platforms affecting public opinion, such as news organizations, political parties, and other entities with comparatively larger attack surfaces than core election systems. While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes . FireEye Intelligence anticipates that future threat scenarios could include disruptive threats such as ransomware attacks impacting electoral processes and related organizations. "
Initial Access: T1078 Valid Accounts," We assess with high confidence that Russian and Chinese espionage actors consistently pose a high-frequency, high-impact threat to U.S. entities. Future targets are likely to include entities connected to the upcoming U.S. election and entities involved in defense, diplomacy, and/or policymaking. Iran and North Korea also pose a potentially destructive threat based on current geopolitical tensions and past activity. Information operations that support Russian or Iranian interests pose a high-frequency, moderate-impact threat. We have also observed campaigns targeting the U.S. that do not appear to support state interests and at least one campaign that may have been orchestrated by a marketing firm in support of a third party that appeared to support state interests. We assess with high confidence that the U.S. will remain a high-frequency target of both targeted and opportunistic financially motivated cyber activity for the foreseeable future. Operations range from low to high impact. We assess with moderate confidence that the perceived lucrative nature of high-impact operations, such as targeted ransomware infections, may cause additional actors to adopt these tactics. We assess with moderate confidence that hacktivist groups will continue choosing U.S. targets for demonstrative cyber activity; however, most activity will not constitute a threat to security-conscious and well-resourced entities. We assess with moderate confidence that an increasing number of countries will demonstrate offensive cyber capabilities in the coming years. Based on the prominence of the cyber domain in modern economic and political competition and the growing presence of private companies offering offensive capabilities for sale, the number of U.S. cyber adversaries is liable to increase and diversify. "
Initial Access: T1078 Valid Accounts," FireEye Threat Intelligence assesses with high confidence that cyber espionage continues to pose an occasional, moderate-intensity threat to Turkish government and commercial sector entities. In the past two years, we observed Russia-, China-, Iran-, and North Korea-nexus groups targeting Turkey, including critical infrastructure targeting. Financially motivated threat activity in Turkey remains a persistent, moderate-intensity threat to multiple industries, most notably financial services. Observed activity includes targeted intrusions and opportunistic campaigns. Information operations by likely Iranian actors present a somewhat regular, low-intensity threat to Turkish audiences. Turkish information operations in support of international political objectives constitute an occasional and limited-intensity threat. Politically motivated hacktivists present a high-frequency, low-intensity threat to public and private sector entities in Turkey and beyond. Organizations operating in Turkey, particularly media outlets and non-governmental organization (NGOs), should be aware of surveillance, website blocking, and potential personnel detentions over online content critical of the Turkish Government. "
Initial Access: T1195 Supply Chain Compromise," Threat activity toward the government sector is primarily driven by the sensitive information contained at these agencies that can prove valuable for both state-sponsored and financially motivated threat actors. In 2020, this has included coronavirus treatment and response data. Mandiant Threat Intelligence assesses with high confidence that state-sponsored threat actors frequently pose a severe threat to governments. We observed Russian, Chinese, Iranian, North Korean, Vietnamese, and Indian cyber espionage actors compromise governments. We assess with high confidence that cyber criminals regularly pose a moderate to severe threat to governments. In addition to FIN11, we have detected several UNC groups target national and regional government organizations with ransomware. We detected multiple information operations targeting governments, likely as a means to various geopolitical ends, including to undermine leaders, institutions, and adversaries, promote certain candidates for positions of power, delegitimize elections, or foment divisions amongst a populace. We assess with moderate confidence this threat activity poses a moderately frequent, severe threat to government organizations. Mandiant assesses with moderate confidence that hacktivist groups regularly pose a low-impact risk to the government sector. We observed hacktivists conduct web defacements of government targets likely to protest policies or promote political ideologies. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence assesses with high confidence that state-sponsored cyber espionage activity poses a regular frequency, moderate intensity threat to the media and entertainment industry. We judge that information operations pose a persistent, serious threat to the sector. By nature, information operations seek to mimic, leverage, and manipulate legitimate media and entertainment platforms, practitioners, and consumers in order to deliver messages to diverse audiences. Mandiant believes that financially motivated activity poses a very common, moderate intensity threat to the media and entertainment sector. Due to frequent handling of consumer transactions, media and entertainment organizations face elevated risk of certain types of activity, such as point-of-sale (POS) threats, gift card abuse, and mobile malware. We assess with moderate confidence that hacktivism poses a somewhat regular frequency but limited intensity threat to the media and entertainment industry. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that Russian cyber espionage operations presented a very common and serious threat to multiple industry sectors during late 2019 and 2020. Its operations are most frequently observed targeting governments in Russia's near abroad and North Atlantic Treaty Organization (NATO) member states, particularly Poland, Ukraine, and the U.S. Increased public exposure from primarily the U.S. and UK Governments provided unusual insight into these operations. Likewise, we assess with high confidence that Russian information operations present a very common and serious threat to countries and organizations in NATO and Russia's near abroad, particularly to media organizations and governments as well as nonprofit organizations, political parties, and international organizations. Mandiant assesses with high confidence that Russian-language cyber crime will continue to pose an almost continuous and serious threat to global organizations, with financially motivated activity from Russia targeting nearly every industry sector worldwide. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence assesses with high confidence that cyber espionage from primarily Russian state-linked threat groups will continue to present an almost continuous and serious threat to Ukraine particularly toward Ukrainian government and military entities. Mandiant has observed primarily pro-Russian information operations targeting Ukraine, often with the apparent objective of creating tension between Ukraine and its European and NATO partners and degrading Ukrainians' trust in their government and democracy. We assess with moderate confidence that these information operations are a frequent and considerable threat. We assess with moderate confidence that Ukrainian cyber crime poses a frequent, moderate magnitude threat to organizations located both in Ukraine and globally. "
Initial Access: T1195 Supply Chain Compromise," MITRE's Adversarial Tactics, Techniques, and Common Knowledge (ATT CK) for Industrial Control Systems (ICS) is a knowledge base and model for cyber adversary behavior against ICS. The ATT CK for ICS model is divided into 12 tactics: initial access, execution, persistence, privilege escalation, evasion, discovery, lateral movement, collection, command and control, inhibit response function, impair process control, and impact. Attackers can use various techniques to achieve each of these goals and ultimately enable successful operations. This report identifies the ATT CK for ICS categories Mandiant Threat Intelligence has seen being used by TEMP.Isotope. "
Initial Access: T1190 Exploit Public-Facing Application," Ensuring data integrity and security as well as operational security during times of disruption or increased remote work is critical. Remote workers should be advised on how to best secure their workplaces, remote work security policies, and access controls should be reviewed and clearly communicated; and special attention should be paid to the possibility of insider threats. Organizations facing disruption events that require increased remote work should ensure that they have sufficient infrastructure, capacity, and device security policies and controls. This can range from making sure that users have secure means to access internal systems remotely and having policies regarding the use of personal devices for work, to developing plans for access to highly secure and/or air gapped systems that should not be exposed to the internet. As the types of events that could cause business disruptions and increased remote work are almost certainly events that would garner significant regional or international attention, they are likely to be used for social engineering lures by a variety of actors. User education intended to drive increased awareness and wariness regarding potential phishing can be a core mitigation tactic in reducing the risk from this type of campaign. "
Initial Access: T1195 Supply Chain Compromise," SUNBURST is a SolarWinds-signed plug-in component of the Orion software framework, which contains an obfuscated backdoor that communicates via HTTP to third-party servers. After an initial dormant period of up to two weeks, it retrieves and executes commands, called ""Jobs,"" that include the ability to transfer and execute files, profile the system, and disable system services. The backdoor's behavior and network protocol blend in with legitimate SolarWinds activity, such as by masquerading as the Orion Improvement Program (OIP) protocol and storing reconnaissance results within plug-in configuration files. The backdoor uses multiple blacklists to identify forensic and anti-virus tools via processes, services, and drivers. "
Initial Access: T1195 Supply Chain Compromise," As of February 2018, FireEye iSIGHT Intelligence tracks 42 threat groups that have targeted organizations from the telecommunications sector on at least one occasion and 26 clusters of activity that are not currently attributed to any group. Economic, political, and military interests equally drive threat actors to target telecommunications organizations. However, it is sometimes difficult to determine whether an actor only leveraged telecommunications infrastructure as a channel to indirectly target other sectors. Contact your account manager for a high-resolution version of the graphic. "
Initial Access: T1078 Valid Accounts," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1195 Supply Chain Compromise," Mandiant Threat Intelligence mapped out the tactics, techniques, and procedures (TTPs) of Russian threat actors APT28, APT29, Turla, Sandworm, TEMP.Armageddon, TEMP.Isotope, and TEMP.Veles to the MITRE ATT CK framework based on activity observed by FireEye devices, Mandiant Incident Response, Managed Defense, and research. Based on current observations, Turla has demonstrated the broadest portfolio of tactics, followed by APT28, and APT29. We observed Russian state-sponsored actors use many defense evasion tactics as well as command and control (C C), discovery and persistence, though this distribution is likely at least partially influenced by the overall quantity of tactics in each category. "
Initial Access: T1195 Supply Chain Compromise," Mandiant incident response investigations and open-source information demonstrate that UNC2452, UNC2652, and likely related activity clusters pursued multiple third-party compromises in 2020 and 2021. Third-party compromises afford tactical and operational advantages to attackers compared to direct targeting. A single compromise can facilitate access to multiple potential targets, and victims may be less likely to detect an intrusion that abuses a trusted channel. We assess with high confidence that this activity represents a risk for governments and policy organizations in North America and Europe and the technology service providers that support these entities. We believe that UNC2452 and related clusters have maintained operational tempo and priorities despite significant public attention. We expect UNC2452 and related clusters to continue to conduct multiple simultaneous, complex intrusions, including operations involving third-party and software supply chain compromise, in pursuit of strategic intelligence requirements that support Russian state interests. "
Initial Access: T1190 Exploit Public-Facing Application," A version of this report will appear on the Mandiant blog the week of April 25, 2022. "
Initial Access: T1078 Valid Accounts," A version of this report will appear on the Mandiant blog the week of April 25, 2022. "
Initial Access: T1195 Supply Chain Compromise," A version of this report will appear on the Mandiant blog the week of April 25, 2022. "
Initial Access: T1190 Exploit Public-Facing Application," Mandiant Threat Intelligence assesses with high confidence that the Russian Federation directs a series of sophisticated, long-standing cyber espionage programs that conduct threat activity and information operations globally against targets of interest to the Russian state. We have lower confidence in our attribution of some named groups to specific Russian security services due to Mandiant's lack of technical evidence associating many of these actor sets to their respective organizations. However, we draw on a wide body of open-source reporting on the mission mandates of Russian intelligence services and government attributions of specific actors to link threat groups we track to their likely sponsors. Attribution is a critical component of cyber threat intelligence because it provides insight into actor intent and helps analysts characterize current activity, anticipate future threats, and provide risk assessments to inform defensive strategies and resource allocation. We assess with high confidence that Russian-sponsored cyber threat groups represent an acute threat to governments, media and civil society organizations, and industrial control systems (ICS) in Eastern and Western Europe and North America. "
Initial Access: T1195 Supply Chain Compromise," The number of zero-days exploited as of July 2021 is on track to more than double the previous record volume from 2019 and has already surpassed all previous years on record. State-sponsored groups continue to be the primary actors exploiting zero-day vulnerabilities, although the proportion of financially motivated actors deploying zero-day exploits has grown significantly since 2019. Microsoft's Exchange and Windows Server software, Apple's iOS, and Google's Chrome browser had the highest volume of zero-days exploited by threat actors, likely reflecting the popularity of these products. The vast increase in zero-day exploitation in 2021, as well as the diversification in motives and actors using them, expands the risk portfolio for organizations in nearly every industry sector and geography, particularly those that rely on these popular systems. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1195 Supply Chain Compromise," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," FireEye Intelligence assesses with high confidence that the cyber espionage threat to national governments is severe. Nation-state threat actors frequently target other governments to gain access to political, diplomatic, economic, and military intelligence. We assess with moderate confidence that the information operations threat to national governments is high. Nation-states increasingly engage in information operations meant to affect government policies, influence national elections, and undermine public confidence in national institutions. FireEye Intelligence judges that hacktivism typically presents a frequent but limited impact threat to well-patched national government systems. However, prominent government websites have been successfully targeted by hacktivists in recent years. We assess with moderate confidence that financially motivated activity presents a moderate threat to well-patched national government systems as criminal actors commonly target vulnerable government databases to gain access to personally identifiable information (PII). "
Initial Access: T1078 Valid Accounts," Tor (formerly The Onion Router) is a network that is purpose-built for anonymized internet browsing that also facilitates the use of ""dark web"" sites inaccessible to software that is not Tor-compatible. Tor has long been used for a wide variety of activities, both legitimate and illicit. Groups and actors observed leveraging Tor range from average cyber criminals using marketplaces hosted on Tor .onion sites to espionage actors using domain fronting Tor plugins for remote access that purports to be legitimate traffic. Actors linked to Tor use include APT29, FIN4, and various opportunistic financially motivated threat actors. Options for blocking and mitigating threats related to Tor in an enterprise environment exist, but they are not absolute. Nearly any mitigation option will still leave opportunities for determined individuals to access Tor through a corporate network, as Tor traffic can often look similar to other types of traffic. Given the many anonymity-related advantages that the use of Tor can provide to cyber threat actors, FireEye Threat Intelligence is highly confident that the use of Tor for malicious purposes will continue for the foreseeable future. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence assesses with high confidence that cyber espionage actors pose a serious threat to law firms. Cyber espionage actors, particularly those with a nexus to China, are likely to target law firms to exploit trusted client relationships and gain access to intellectual property or proprietary information to benefit a government sponsor. We assess with high confidence that financially motivated cyber crime poses an ongoing and serious threat to law firms. Financially motivated cyber criminals target legal firms to gain access to client data such as financial and account information, proprietary information, or other sensitive business data. FireEye Intelligence assesses with moderate confidence that hacktivists constitute a low threat to law firms. Hacktivists may target law firms to call attention to a cause, but they typically possess limited technical capabilities. Cyber threats to legal services come in various forms including phishing, data breaches, ransomware, supply chain compromise, and insider threats. Moreover, lack of security training and usage of obsolete technology and mobile devices increase the security risk to the law firms. "
Initial Access: T1195 Supply Chain Compromise," FireEye Intelligence assesses with high confidence that cyber espionage actors pose a serious threat to law firms. Cyber espionage actors, particularly those with a nexus to China, are likely to target law firms to exploit trusted client relationships and gain access to intellectual property or proprietary information to benefit a government sponsor. We assess with high confidence that financially motivated cyber crime poses an ongoing and serious threat to law firms. Financially motivated cyber criminals target legal firms to gain access to client data such as financial and account information, proprietary information, or other sensitive business data. FireEye Intelligence assesses with moderate confidence that hacktivists constitute a low threat to law firms. Hacktivists may target law firms to call attention to a cause, but they typically possess limited technical capabilities. Cyber threats to legal services come in various forms including phishing, data breaches, ransomware, supply chain compromise, and insider threats. Moreover, lack of security training and usage of obsolete technology and mobile devices increase the security risk to the law firms. "
Initial Access: T1195 Supply Chain Compromise," The cyber espionage threat to the telecommunications sector is high. FireEye iSIGHT Intelligence has observed more than 40 advanced threat actors that have conducted operations against telecommunications companies throughout Asia, Europe, North and South America, Africa, and Australia. Financially motivated cyber crime poses a high threat to telecommunications companies and their customers. Telecommunications companies are less frequently directly targeted by these actors, but often collaborate extensively with customers and law enforcement to mitigate criminal threats. Hacktivists constitute a moderate threat to the telecommunications sector. Motivations to target the sector include support of net neutrality, retaliation for perceived injustices, and promotion of nationalist themes. The sector must also consider its position as a key node in the overall critical infrastructure of most countries. Distributed denial-of-service (DDoS) attacks, physical sabotage, jamming, and supply chain attacks pose additional risks. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence continues to observe state-sponsored and other threat actors target national elections to collect intelligence and exert influence as well as attempt to delegitimize or disrupt the electoral process. We assess with high confidence that actors will persist in targeting entities associated with elections. Based on activity observed from 2016 2019, we believe that threat actors have focused their targeting against electoral platforms affecting public opinion, such as news organizations, political parties, and other entities with comparatively larger attack surfaces than core election systems. While we have observed one credible instance of a core elections system being successfully compromised, we have not observed evidence of any instances that resulted in alteration or manipulation of votes . FireEye Intelligence anticipates that future threat scenarios could include disruptive threats such as ransomware attacks impacting electoral processes and related organizations. "
Initial Access: T1078 Valid Accounts," We assess with high confidence that Russian and Chinese espionage actors consistently pose a high-frequency, high-impact threat to U.S. entities. Future targets are likely to include entities connected to the upcoming U.S. election and entities involved in defense, diplomacy, and/or policymaking. Iran and North Korea also pose a potentially destructive threat based on current geopolitical tensions and past activity. Information operations that support Russian or Iranian interests pose a high-frequency, moderate-impact threat. We have also observed campaigns targeting the U.S. that do not appear to support state interests and at least one campaign that may have been orchestrated by a marketing firm in support of a third party that appeared to support state interests. We assess with high confidence that the U.S. will remain a high-frequency target of both targeted and opportunistic financially motivated cyber activity for the foreseeable future. Operations range from low to high impact. We assess with moderate confidence that the perceived lucrative nature of high-impact operations, such as targeted ransomware infections, may cause additional actors to adopt these tactics. We assess with moderate confidence that hacktivist groups will continue choosing U.S. targets for demonstrative cyber activity; however, most activity will not constitute a threat to security-conscious and well-resourced entities. We assess with moderate confidence that an increasing number of countries will demonstrate offensive cyber capabilities in the coming years. Based on the prominence of the cyber domain in modern economic and political competition and the growing presence of private companies offering offensive capabilities for sale, the number of U.S. cyber adversaries is liable to increase and diversify. "
Initial Access: T1078 Valid Accounts," A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. "
Initial Access: T1078 Valid Accounts," A series of high-profile and high-impact cyber security incidents have occurred since 2014, prompting U.S. and allied governments to redouble their efforts to deter and defend against malicious cyber activity by adversarial nations. The effectiveness of public attribution, indictments, sanctions, and diplomatic agreements to date in deterring state-sponsored cyber threat activity targeting the U.S. and its allies has been mixed. However, cumulative improvements in defensive capacity and recent increases in the U.S. Government's freedom of action to respond directly to cyber threats appear more likely to impact adversarial activity going forward. "
Initial Access: T1190 Exploit Public-Facing Application," While cloud providers are responsible for providing security controls, customers are responsible for using those measures and protecting their data. Cloud service providers are attractive targets for both espionage and financially motivated cyber threat actors due to the vast amount of data stored in the cloud from many different users. Many cloud data breaches are linked to weak passwords, weak authentication, or poor certificate and key management. Threat actors attempt to compromise cloud services to scale their computing capabilities and improve their anonymity. They also use legitimate cloud services as infrastructure supporting malicious operations. Organizations using multi-factor authentication and integrating user permissions in their systems have fared much better when targeted by persistent cyber threats. Proper configurations, accurate inventory, and consumption tracking of decentralized assets are among the best practices for cloud security. "
Initial Access: T1190 Exploit Public-Facing Application," FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. "
Initial Access: T1078 Valid Accounts," FireEye Intelligence has not observed any specific threats to the 33 rd ASEAN Summit in Singapore. However, historical activity and the general risk associated with conference attendance suggests that potential attendees should consider the risks associated with travelling to the summit. We have seen espionage actors regularly target conferences and their attendees. The prominence of the summit and many of its attendees will almost certainly draw the attention of actors seeking to gain access to sensitive devices, networks, or data. FireEye has observed multiple successful conference-themed lures targeting multiple sectors in the form of announcements, itineraries, and other conference details. We anticipate that materials referencing the 33 rd ASEAN Summit could be used as lures for phishing campaigns. "
