Technique,Example
Initial Access: T1091 Replication Through Removable Media,DustySky searches for removable media and duplicates itself onto it.
Initial Access: T1091 Replication Through Removable Media,"FIN7 actors have mailed USB drives to potential victims containing malware that downloads and installs various backdoors, including in some cases for ransomware operations."
Initial Access: T1091 Replication Through Removable Media,Flame contains modules to infect USB sticks and spread laterally to other Windows systems the stick is plugged into using Autorun functionality.
Initial Access: T1091 Replication Through Removable Media,H1N1 has functionality to copy itself to removable media.
Initial Access: T1091 Replication Through Removable Media,Mustang Panda has used a customized PlugX variant which could spread through USB connections.
Initial Access: T1091 Replication Through Removable Media,njRAT can be configured to spread via removable drives.
Initial Access: T1091 Replication Through Removable Media,QakBot has the ability to use removable drives to spread through compromised networks.
Initial Access: T1091 Replication Through Removable Media,Ramsay can spread itself by infecting other portable executable files on removable drives.
Initial Access: T1091 Replication Through Removable Media,APT30 may have used the SHIPSHAPE malware to move onto air-gapped networks. SHIPSHAPE targets removable drives to spread to other systems by modifying the drive to use Autorun to execute or by hiding legitimate document files and copying an executable to the folder with the same name as the legitimate document.
Initial Access: T1091 Replication Through Removable Media,Stuxnet can propagate via removable media using an autorun.inf file or the CVE-2010-2568 LNK vulnerability.
Initial Access: T1091 Replication Through Removable Media,Tropic Trooper has attempted to transfer USBferry from an infected USB device by copying an Autorun function to the target machine.
Initial Access: T1091 Replication Through Removable Media,Unknown Logger is capable of spreading to USB devices.
Initial Access: T1091 Replication Through Removable Media,Ursnif has copied itself to and infected removable drives for propagation.
Initial Access: T1091 Replication Through Removable Media,USBferry can copy its installer to attached USB storage devices.
Initial Access: T1091 Replication Through Removable Media,USBStealer drops itself onto removable media and relies on Autorun to execute the malicious file when a user opens the removable media on another system.
Initial Access: T1199 Trusted Relationship,"Once APT28 gained access to the DCCC network, the group then proceeded to use that access to compromise the DNC network."
Initial Access: T1199 Trusted Relationship,"APT29 has gained access through compromised accounts at cloud solution partners, and used compromised certificates issued by Mimecast to authenticate to Mimecast customer systems."
Initial Access: T1199 Trusted Relationship,GOLD SOUTHFIELD has breached Managed Service Providers (MSP's) to deliver malware to MSP customers.
Initial Access: T1199 Trusted Relationship,menuPass has used legitimate access granted to Managed Service Providers in order to access victims of interest.
Initial Access: T1199 Trusted Relationship,Sandworm Team has used dedicated network connections from one victim organization to gain unauthorized access to a separate organization.
Initial Access: T1199 Trusted Relationship,Threat Group-3390 has compromised third party service providers to gain access to victim's environments.
Initial Access: T1078 Valid Accounts,APT18 actors leverage legitimate credentials to log into external remote services.
Initial Access: T1078 Valid Accounts,"APT28 has used legitimate credentials to gain initial access, maintain access, and exfiltrate data from a victim network. The group has specifically used credentials stolen through a spearphishing email to login to the DCCC network. The group has also leveraged default manufacturer's passwords to gain initial access to corporate networks via IoT devices such as a VOIP phone, printer, and video decoder."
Initial Access: T1078 Valid Accounts,APT29 used different compromised credentials for remote access and to move laterally.
Initial Access: T1078 Valid Accounts,APT33 has used valid accounts for initial access and privilege escalation.
Initial Access: T1078 Valid Accounts,APT39 has used stolen credentials to compromise Outlook Web Access (OWA).
Initial Access: T1078 Valid Accounts,APT41 used compromised credentials to log on to other systems.
Initial Access: T1078 Valid Accounts,Axiom has used previously compromised administrative accounts to escalate privileges.
Initial Access: T1078 Valid Accounts,Carbanak actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars.
Initial Access: T1078 Valid Accounts,Chimera has used a valid account to maintain persistence via scheduled task.
Initial Access: T1078 Valid Accounts,Dragonfly has compromised user credentials and used valid accounts for operations.
Initial Access: T1078 Valid Accounts,Dtrack used hard-coded credentials to gain access to a network share.
Initial Access: T1078 Valid Accounts,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials (via keylogging or other means). The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.
Initial Access: T1078 Valid Accounts,FIN10 has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor.
Initial Access: T1078 Valid Accounts,FIN4 has used legitimate credentials to hijack email communications.
Initial Access: T1078 Valid Accounts,"FIN5 has used legitimate VPN, RDP, Citrix, or VNC credentials to maintain access to a victim environment."
Initial Access: T1078 Valid Accounts,"To move laterally on a victim network, FIN6 has used credentials stolen from various systems on which it gathered usernames and password hashes."
Initial Access: T1078 Valid Accounts,FIN7 has harvested valid administrative credentials for lateral movement.
Initial Access: T1078 Valid Accounts,FIN8 has used valid accounts for persistence and lateral movement.
Initial Access: T1078 Valid Accounts,Fox Kitten has used valid credentials with various services during lateral movement.
Initial Access: T1078 Valid Accounts,GALLIUM leveraged valid accounts to maintain access to a victim network.
Initial Access: T1078 Valid Accounts,Industroyer can use supplied user credentials to execute processes and stop services.
Initial Access: T1078 Valid Accounts,"Ke3chang has used credential dumpers or stealers to obtain legitimate credentials, which they used to gain access to victim accounts."
Initial Access: T1078 Valid Accounts,Kinsing has used valid SSH credentials to access remote hosts.
Initial Access: T1078 Valid Accounts,Lazarus Group has used administrator credentials to gain access to restricted network segments.
Initial Access: T1078 Valid Accounts,Leviathan has obtained valid accounts to gain initial access.
Initial Access: T1078 Valid Accounts,Linux Rabbit acquires valid SSH accounts through brute force. 
Initial Access: T1078 Valid Accounts,menuPass has used valid accounts including shared between Managed Service Providers and clients to move between the two environments.
Initial Access: T1078 Valid Accounts,Night Dragon has used compromised VPN accounts to gain access to victim systems.
Initial Access: T1078 Valid Accounts,OilRig has used compromised credentials to access other systems on a victim network.
Initial Access: T1078 Valid Accounts,Operation Wocao has used valid VPN credentials to gain initial access.
Initial Access: T1078 Valid Accounts,PittyTiger attempts to obtain legitimate credentials during operations.
Initial Access: T1078 Valid Accounts,Sandworm Team have used previously acquired legitimate credentials prior to attacks.
Initial Access: T1078 Valid Accounts,Some SeaDuke samples have a module to extract email from Microsoft Exchange servers using compromised credentials.
Initial Access: T1078 Valid Accounts,Silence has used compromised credentials to log on to other systems and escalate privileges.
Initial Access: T1078 Valid Accounts,Silent Librarian has used compromised credentials to obtain unauthorized access to online accounts.
Initial Access: T1078 Valid Accounts,Suckfly used legitimate account credentials that they dumped to navigate the internal victim network as though they were the legitimate account owner.
Initial Access: T1078 Valid Accounts,TEMP.Veles has used compromised VPN accounts.
Initial Access: T1078 Valid Accounts,Threat Group-3390 actors obtain legitimate credentials using a variety of methods and use them to further lateral movement on victim networks.
Initial Access: T1078 Valid Accounts,Wizard Spider has used valid credentials for privileged accounts with the goal of accessing domain controllers.
